station_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
ROMA TERMINI,0.27873933,-0.08931421,-0.1929303,0.005575471,0.3438512,-0.24627097,-0.046304267,0.09714173,-0.31880656,0.22708644,0.12017772,-0.03199914,-0.38323364,-0.18459459,0.20201154,-0.016137423,0.01075648,0.3183051,-0.065316856,0.42487538,0.16997807,0.34171146,-0.00013991044,-0.33627558,-0.1272446,-0.34740457,-0.1413633,0.14667925,0.45060983,-0.21677935,-0.18802069,0.26481035,0.32270035,-0.35908633,-0.2199873,0.12052443,-0.18340175,0.117748074,0.23269968,-0.1713175,0.16344932,0.03391866,-0.09239983,0.18148698,-0.16117477,0.20659833,-0.078644305,-0.022524823,0.030466793,-0.044136263,-0.22922862,-0.010014032,-0.13332237,-0.009623299,0.56120485,0.14096716,0.035181496,-0.48525974,-0.0037789429,-0.045722496,0.049667872,0.4574432,-0.14702383,0.18374571
MILANO CENTRALE,-0.18579209,0.14180882,0.13297348,-0.226785,0.47431073,-0.11422526,-0.19380333,0.026755203,-0.3855048,-0.17540446,0.13183914,-0.120976925,-0.014177652,-0.31361768,0.108969994,0.20492907,-0.13316701,-0.06130313,0.022393242,0.19149528,-0.061664216,0.14195158,0.62263894,-0.1987525,-0.28456125,-0.09484801,-0.045710266,-0.3385178,0.10966061,-0.03103316,0.10543495,0.4433414,-0.08586982,-0.02028926,0.11661859,-0.1376425,-0.1833208,0.27792278,-0.109911695,0.10115925,-0.24451947,0.16465424,0.20770071,0.015603248,-0.30367175,0.08807989,0.06540989,-0.42457217,-0.02812519,0.04039438,-0.2085467,0.022509515,-0.27818424,0.118915364,0.35857204,0.04417717,0.3310402,0.022375116,-0.5017578,-0.20825219,0.053656008,-0.044517867,-0.054636054,-0.08513229
BOLOGNA C.LE,0.08406769,0.0896286,-0.09096449,0.078607306,0.23340781,-0.17152476,0.033553395,-0.11774413,-0.2942223,0.14288512,0.44367707,0.36540994,-0.007460303,-0.3459043,0.14954844,0.20233347,-0.34680668,0.55184644,0.29848677,0.24908532,0.04907806,-0.1653865,0.37072325,0.047420125,-0.7946972,0.039010577,-0.24498333,-0.35917404,0.25767723,-0.08796049,-0.15752988,0.061184824,-0.039238483,0.29503924,-0.21817075,-0.026610877,0.0011175018,0.2274958,0.32540998,0.016122913,0.15135813,0.23467314,0.27847397,0.042019185,0.096807286,-0.24901883,0.11298701,-0.23145773,0.18805139,-0.098018326,-0.37465805,-0.23868492,-0.26813427,0.359665,0.27261564,-0.018581208,-0.081624866,-0.048389792,-0.24920848,0.02374913,-0.2766542,-0.14061987,0.28808635,0.16778328
MILANO PORTA GARIBALDI,0.02803229,0.10459333,-0.31306303,-0.2019172,0.47973186,-0.39621913,-0.027021589,0.11847534,-0.08787264,-0.406205,0.015301787,0.004165368,-0.06728408,-0.22279935,0.08290695,0.36004776,-0.26287708,-0.007905016,-0.06263177,0.16837747,-0.214576,0.0346196,0.61465347,-0.16783811,-0.11250372,0.08121237,-0.24050222,-0.28412428,0.45330667,0.26543745,0.17968394,0.021035448,-0.06731427,0.085371666,-0.0918755,0.043420155,-0.28929588,0.0382492,0.19966334,0.36173916,-0.122597836,0.38980442,-0.08325296,-0.22245073,-0.15634404,0.19859812,0.3599924,-0.5594571,-0.014557216,-0.37576357,0.15808217,-0.12387432,-0.035749577,0.21756989,0.28811848,-0.12655932,0.07471039,-0.14611438,-0.29852855,-0.59091324,-0.07935888,-0.2876587,-0.35494244,-0.17806119
ROMA TIBURTINA,0.1800287,0.17247283,-0.25169358,-0.15650667,0.3351341,-0.3249917,-0.049310766,0.19779396,-0.56113815,0.18637396,-0.049134683,0.23002827,-0.6738613,0.0983668,0.18054192,0.12988907,-0.028492566,0.53742254,0.22032121,0.5771646,0.36175603,0.13956678,-0.066397764,-0.19052894,0.02595968,-0.046665333,-0.29075998,-0.105068326,0.042594604,-0.021777594,-0.0412665,0.15033273,0.13793382,-0.2842619,-0.23529048,0.3978858,0.25395623,0.09694589,0.043483257,0.20957807,0.15335716,0.20274849,0.24827777,0.12642257,0.019522099,-0.108373076,-0.3656997,-0.05524219,0.367857,-0.38412777,0.14820342,-0.28203285,0.17808199,0.09660245,0.38719472,0.20551139,0.22519748,-0.54746264,-0.10913797,0.11018714,0.102672964,0.13741864,-0.05868688,0.11944285
NAPOLI CENTRALE,0.11424635,-0.26642612,-0.24125624,-0.12092214,0.15768105,0.078910746,-0.41276982,-0.14124516,-0.7406283,-0.29608196,0.27131426,-0.03906109,-0.53220206,-0.3124573,0.45834008,-0.20152162,-0.022499695,-0.071376525,0.1219263,0.08685068,0.11507498,0.1422146,-0.246139,-0.26389077,-0.2507927,-0.26340723,0.14418809,-0.033589173,0.57776755,-0.0059600323,-0.0790699,0.260106,0.1693082,-0.287963,-0.07850648,0.08198403,-0.1327444,-0.17509982,-0.015175725,-0.27258977,-0.030544186,0.10071394,-0.06151173,-0.06928802,-0.14026451,-0.16628271,-0.0064836335,0.0010882448,0.2839692,0.13280973,0.09136862,-0.020543296,0.212935,0.12216945,0.3669903,0.05584579,-0.011506839,-0.5513237,-0.3760376,0.038508154,-0.35385796,0.15911002,0.16059284,0.056044694
FIRENZE S.M.N.,0.050706938,-0.32124612,-0.07005029,-0.25763962,0.069271795,-0.17434742,-0.076203,-0.06730237,-0.41132218,-0.09606141,0.09053772,-0.11232337,-0.80150175,-0.22211549,-0.09320527,0.0025465717,0.003346254,-0.064828664,0.14385876,0.472724,0.20944877,0.18968946,0.18222952,-0.28424838,-0.115658194,-0.18736441,-0.19397278,0.08503998,0.07584693,0.049461585,-0.16575152,-0.3231516,0.07131935,0.5099933,-0.33226377,0.22320159,-0.43178976,-0.08254915,0.25256866,0.12691227,-0.22672461,-0.18912922,0.07450066,-0.20695847,-0.031184394,-0.2640117,-0.037679184,0.0122089125,-0.07736614,0.052517895,-0.45814005,-0.52999914,-0.46976733,0.17705052,0.613311,-0.043161247,0.21285607,-0.15371253,-0.39737338,0.67021924,-0.18839411,-0.13149406,0.09800463,0.20139338
TORINO P.NUOVA,0.23752905,-0.20367917,-0.19355117,0.12805374,0.5255608,-0.38944986,-0.22686577,0.24678525,0.08422287,-0.1776062,-0.09804997,0.02846607,0.01408225,-0.2680321,-0.0034918312,0.112689115,0.096610956,0.23196375,-0.11561447,0.6439431,-0.1562566,0.090632044,0.022485971,-0.17803505,-0.60080856,-0.2855915,-0.025664946,0.09563756,0.24158014,-0.05779091,0.11798862,0.23504347,-0.2074827,0.032787364,0.06332866,0.23004052,-0.35672483,-0.006213138,-0.14735349,0.10641937,-0.34064,-0.2725358,0.19661489,-0.5225015,-0.017694023,-0.33309558,0.055976648,-0.35978913,0.30149862,0.017783677,0.25040078,-0.10336835,-0.04455724,0.08878539,0.17290622,-0.20600823,0.1777683,-0.21310726,-0.24082233,-0.20061812,-0.1906066,0.4310353,0.051596217,-0.10707468
SALERNO,0.17952022,-0.10553632,-0.15103288,0.026172647,0.07218295,-0.124583974,-0.3077355,-0.38243997,-0.27633047,0.116416804,0.42300376,-0.107994385,-0.47040737,-0.17797092,0.3979322,-0.42338026,0.15302491,-0.06983953,0.13447982,0.07572862,-0.15775649,0.10467683,0.07805576,-0.41406512,-0.32004306,-0.10183864,0.09212407,0.042932786,0.48182538,-0.12808919,-0.124095954,0.26899856,-0.06683907,0.06829983,-0.09600852,0.40365523,-0.3406061,0.0415566,-0.2506943,0.020195408,-0.30313125,0.36310637,-0.107123494,-0.10372548,-0.019252477,0.021857265,-0.4009265,-0.24562106,0.08181626,0.05417453,0.36035824,-0.7001168,0.21400525,0.14552222,0.19734533,0.13287072,0.012718979,-0.45321655,-0.42865437,0.42652747,-0.2689961,0.04112988,-0.15496433,0.097910345
VENEZIA SANTA LUCIA,0.13758288,0.09417261,-0.40453252,-0.05972646,0.36730456,-0.53197074,0.1145244,0.14381267,0.054269735,-0.13121952,0.31590757,-0.04290011,-0.11410975,-0.29483703,0.054910738,0.23668519,-0.4871683,0.04087151,0.5836089,0.24877092,-0.37694326,0.46686435,-0.1203087,-0.17471373,-0.3597396,-0.073242754,-0.1590012,-0.22349675,-0.21067408,0.05562283,0.2578889,0.2225289,0.32070488,-0.08326675,0.21321547,-0.2968843,-0.23887475,0.49021947,0.099944726,-0.011038894,-0.03984958,0.24197581,0.40980613,-0.118648686,-0.09146017,-0.385877,0.195784,0.18208192,0.460345,-0.28376538,-0.16530961,-0.103992105,-0.14176519,0.24153891,0.15731165,0.22710875,-0.38261738,-0.27897012,-0.3704816,0.27505696,-0.2964385,0.07794801,0.115863204,0.06853328
